"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","714","testing299","","Fri Sep 26 16:08:42 BRT 2025","passed","Fri Sep 26 16:08:43 BRT 2025","","TesteSuit","",""
"","765","testing299","","Fri Sep 26 16:08:42 BRT 2025","passed","Fri Sep 26 16:08:43 BRT 2025","","TesteSuit","TesteSuit","testing299"
"","726","testing18","","Fri Sep 26 00:58:56 BRT 2025","passed","Fri Sep 26 00:58:57 BRT 2025","","TesteSuit","",""
"","706","testing3","","Fri Sep 26 16:08:38 BRT 2025","passed","Fri Sep 26 16:08:38 BRT 2025","","TesteSuit","",""
"","813","testing2","","Fri Sep 26 16:08:37 BRT 2025","passed","Fri Sep 26 16:08:37 BRT 2025","","TesteSuit","TesteSuit","testing2"
"","698","testing5","","Fri Sep 26 16:08:39 BRT 2025","passed","Fri Sep 26 16:08:40 BRT 2025","","TesteSuit","",""
"","745","testing7","","Fri Sep 26 16:08:40 BRT 2025","passed","Fri Sep 26 16:08:41 BRT 2025","","TesteSuit","",""
"","731","testing6","","Fri Sep 26 16:08:40 BRT 2025","passed","Fri Sep 26 16:08:40 BRT 2025","","TesteSuit","TesteSuit","testing6"
"","700","testing18 ","","Fri Sep 26 16:08:41 BRT 2025","passed","Fri Sep 26 16:08:42 BRT 2025","","TesteSuit","",""
"","704","testing6","","Fri Sep 26 16:08:40 BRT 2025","passed","Fri Sep 26 16:08:40 BRT 2025","","TesteSuit","",""
"","752","testing18","","Fri Sep 26 00:58:56 BRT 2025","passed","Fri Sep 26 00:58:57 BRT 2025","","TesteSuit","TesteSuit","testing18"
"","1967","testing1","","Fri Sep 26 16:08:35 BRT 2025","passed","Fri Sep 26 16:08:37 BRT 2025","","TesteSuit","TesteSuit","testing1"
"","1930","testing1","","Fri Sep 26 16:08:35 BRT 2025","passed","Fri Sep 26 16:08:37 BRT 2025","","TesteSuit","",""
"","728","testing4","","Fri Sep 26 16:08:38 BRT 2025","passed","Fri Sep 26 16:08:39 BRT 2025","","TesteSuit","TesteSuit","testing4"
"","790","testing2","","Fri Sep 26 16:08:37 BRT 2025","passed","Fri Sep 26 16:08:37 BRT 2025","","TesteSuit","",""
"","771","testing7","","Fri Sep 26 16:08:40 BRT 2025","passed","Fri Sep 26 16:08:41 BRT 2025","","TesteSuit","TesteSuit","testing7"
"","727","testing18 ","","Fri Sep 26 16:08:41 BRT 2025","passed","Fri Sep 26 16:08:42 BRT 2025","","TesteSuit","TesteSuit","testing18 "
"","703","testing4","","Fri Sep 26 16:08:38 BRT 2025","passed","Fri Sep 26 16:08:39 BRT 2025","","TesteSuit","",""
"","722","testing5","","Fri Sep 26 16:08:39 BRT 2025","passed","Fri Sep 26 16:08:40 BRT 2025","","TesteSuit","TesteSuit","testing5"
"","731","testing3","","Fri Sep 26 16:08:38 BRT 2025","passed","Fri Sep 26 16:08:38 BRT 2025","","TesteSuit","TesteSuit","testing3"
