"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","723","testing10","","Fri Sep 26 17:36:25 GMT-03:00 2025","passed","Fri Sep 26 17:36:25 GMT-03:00 2025","","TesteSuit","TesteSuit","testing10"
"","745","testing299","","Fri Sep 26 17:31:31 GMT-03:00 2025","passed","Fri Sep 26 17:31:32 GMT-03:00 2025","","TesteSuit","TesteSuit","testing299"
"","785","testing18 ","","Fri Sep 26 17:31:30 GMT-03:00 2025","passed","Fri Sep 26 17:31:31 GMT-03:00 2025","","TesteSuit","TesteSuit","testing18 "
"","861","testing399","","Fri Sep 26 17:31:32 GMT-03:00 2025","passed","Fri Sep 26 17:31:33 GMT-03:00 2025","","TesteSuit","TesteSuit","testing399"
"","1602","testing7","","Fri Sep 26 17:36:21 GMT-03:00 2025","passed","Fri Sep 26 17:36:23 GMT-03:00 2025","","TesteSuit","TesteSuit","testing7"
"","799","testing8 ","","Fri Sep 26 17:36:23 GMT-03:00 2025","passed","Fri Sep 26 17:36:24 GMT-03:00 2025","","TesteSuit","TesteSuit","testing8 "
"","752","testing9","","Fri Sep 26 17:36:24 GMT-03:00 2025","passed","Fri Sep 26 17:36:25 GMT-03:00 2025","","TesteSuit","TesteSuit","testing9"
"","728","testing40","","Fri Sep 26 17:36:26 GMT-03:00 2025","passed","Fri Sep 26 17:36:27 GMT-03:00 2025","","TesteSuit","TesteSuit","testing40"
"","739","testing499","","Fri Sep 26 17:31:33 GMT-03:00 2025","passed","Fri Sep 26 17:31:34 GMT-03:00 2025","","TesteSuit","TesteSuit","testing499"
"","715","testing11","","Fri Sep 26 17:36:25 GMT-03:00 2025","passed","Fri Sep 26 17:36:26 GMT-03:00 2025","","TesteSuit","TesteSuit","testing11"
